reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A257ATVZRJZLYW,B0001WD5RC,jrjccj,"[1, 1]","I own at least 5 or 6 golf visors.  I bought this one because I am constantly in search of a more comfortable one.  This one had such great reviews I felt that this must be super comfortable - NOT!!  No Headache Visor?  YES, BIG headache!!  By about the 4th hole it felt like my head was in a vise.  I guess I always thought I had an average sized head, and no one has ever told me otherwise, but maybe not?  All I know is that I've never had another visor, or any other hat for that matter, fit as tightly as this visor - this thing was just plain awful!  I won't be wearing it again!",1,OUCH!!,1307836800,2011-12-06 00:00:00
A34JOP0NHTGT1P,B0000E1VS3,LoveMyWESTIEinWI,"[12, 12]","I feel similarly about this item as I do about Communism: Seems good in theory, but in reality, it falls apart (quite literally)! I was very excited about this item, ordered it, and it arrived with the hinges already broken, w/the screws fallen out. Then, because I thought it was just a fluke, I ordered ANOTHER one, and the exact same thing happened, only this time, half of the back side of the lid (near the screws go) was totally split. So basically, all this item did for me was cause me a bunch of time and trouble to return. It's tempting, but my advice is find something else- stay away from this!",1,"Don't Do It... Zero Stars, Twice",1327276800,2012-01-23 00:00:00
A2A4C0IRW8OMIK,B00008I8YM,H. Johnson,"[1, 2]",I wore one pair once and gave them away because I didn't like the way they felt.  The fabric felt rough and the leg bands too narrow.,1,hated them,1334275200,2012-04-13 00:00:00
A3FPSY1M6G7XIB,B0000ANAKR,RonAnnArbor,"[4, 15]","HEre's the thing....everyone says these sandals need a ""break-in"" period --- a) that's ridiculous, and b) they absolutely DO NOT fit a wide foot (E, EEE, or EEEEE). These are soft leather, nice looking and for a thin foot probably very comfortable.  I wear a 7.5 EEE.  I ordered one size larger (8.5 - 9.5 MEdium) and they absolutely DO NOT fit -- while you can get your foot into the strap, they cut into the skin between the toes, and there is absolutely no way to ""break in"" the sandle....I wore them for about an hour and found that a) not only do they not loosen up in any way they also dug into the top of my foot and created bloody welts. These 50.00 sandals became unreturnable because they have been worn, and they have dirt on them, and they have blood on the straps.$50.00 worth of garbage within one hour. DO NOT BELIEVE all these folks on here who say ""just break them in""....they do not fit a wide foot, period. Save your money.",1,Absolutely do not fit a wide foot,1334275200,2012-04-13 00:00:00
A1731WPMYLOSF7,B00012O12A,GearGuy,"[1, 1]",These can't be real Levi's?!; the fabric is thin as a handkerchief and the stitching is cheap single stitched cotton thread. If I had the chance to feel these before buying of course I would NOT have bought them and bought the real thick Levi's jeans. Costs more to ship back from here overseas than the jeans cost.Very disappointed in Amazon because these were sold through Amazon.,1,Are these really Levi's!? Would NOT buy again,1336867200,2012-05-13 00:00:00
A1D9B1RBLRZY4C,B0001ZNZJM,infantry11m,"[5, 9]",I ordered these thinking they offered some support but they are just as roomy as regular boxers.  The leg openings are snug but other than that they were a disappointment.,1,Not as pictured,1333670400,2012-06-04 00:00:00
A21Q29J3ZWPDNP,B00012O12A,From Detroit,"[0, 0]","I've been loyal to Levi's for about 20 years now.  I used to be able to walk into a store, grab some 32x32s, cash out and go home.  They would always fit.  This is no longer true.  The quality of this brand has been slipping for years, and now it's to the point to where I think I need to find a new brand to buy.  It is hard enough to find 32x32 jeans, and about 1 in 4 that I try on won't fit right at all.  Nearly every pair suffers from the ""leg-twist,"" which is caused when the manufacturer cuts the bolt off-grain (this condition frequently gets worse after you wash.)  Other less frequent issues (but noticeably more common these days) would be crooked seams, crooked/misplaced tags, missing rivets, and uneven leg-lengths.  It seems that Levi's has been moving to thinner textiles, which means the jeans will wear out faster.Hopefully the quality returns.  If not, I'll be moving on.",1,Might be switching my brand,1340150400,2012-06-20 00:00:00
A2KOSFEQM1EKVM,B0000ZEPGA,"TGG ""family gal""","[0, 0]","Not sure why it's called double support bra, because there is no support.  The straps do not stay in place causing the girls to drop....so will not reccommend to anyone if they are REALLY LOOKing for SuPpOrT.",1,No all it's hyped up to be...,1346976000,2012-07-09 00:00:00
A30JPZ9TZ7I61U,B00012O12A,"Christopher Barrett ""Evil Corgi""","[1, 1]","I have a pair of 505 in the same size as the new pair I ordered on Amazon.  The previous pair was bought on sale at a local Fred Meyer.  They were durable and fit well.  They actually lasted over a year with frequent wearing and once per week washing (I estimate around 40-50 washes).  So I bought the same size and fit on Amazon just in a darker color to wear at work.  I also bought a pair of the 515 slim fit Levi's a few weeks ago and they were perfect and fit exactly the same as another pair I own.  But I wanted the less 'slim' fit of the 505s for work, also wanted the regular and not low rise waist.  So I ordered the same exact size and style:Bad idea!The 505s I got came with a tag saying 'sits below waist', which is NOT what they used to say.  Before, the 505s were a zipper fly version of the 501s.  Putting the pair of 505s I already owned next to the new pair from Amazon, I could see the crotch to waist was almost an inch shorter on the new pair.  Trying the new pair on, I discovered a most unpleasant sensation of my 'man parts' being crushed in agonizing ways.  No amount of tugging would get the pants to sit right.Then I tried on the 515 slim jeans, and they were actually ROOMIER in the crotch area.  The thighs were a little slimmer than the 505s, but the seat was the main difference.  No sag in the seat of the 515s compared to the 505.And then in trying on the recently purchased 515s (in the same color as the new 505s I purchased) I noticed something interesting.  The denim in the new pair was thinner and tougher feeling than in the 515s.  It wasn't just the feeling of the jeans prior to washing.  The 515s never felt that tough, and the denim was thicker in the side by side comparison.I returned them based on a misleading product description (no mention of low rise waist) and inferior quality.  I gave the 515s a 5 star rating because they were as good as the previous 515s that I bought at a high price from a department store.  The previous 505s were also great (Fred Meyer of all places - though they don't have the 505s anymore... booo).  So I'm sticking with the 515s until something changes with them.  I'll take the slightly low waist and save my manhood.  And the better quality denim means they'll last longer anyway.  So here are my comparisons:Levi's 505 purchased 9/10/12 from Amazon - 1 starLevi's 505 purchased fall 2011 from Fred Meyer - 5 starLevi's 515 purchased 6/22/2012 from Amazon - 5 starJust be aware that the product might differ slightly from what is described, and that the quality appears to vary from order to order.  I suspect that is why the great divide in 1 and 5 star reviews.  I love Levi's jeans, and I will continue to buy them, but I will be a little more careful with the online purchasing.  And remember, if you buy from Amazon, they will return or exchange any unwashed clothing items.",1,Not the same as they once were ~,1347494400,2012-09-13 00:00:00
A3HN1NFTA2Q7VV,B00024QZX0,Jersey Girl,"[1, 2]","Title is misleading-it is auto open, manual folding (close) and it will not stay closed.Cheap, not well made at all, total waste of money.",1,Garbage,1348099200,2012-09-20 00:00:00
A28QH3KX709FFQ,1608299953,"Don Quixote ""Don Q""","[24, 31]","I bought this product a little over a year ago. Now that I am done with it, I wanted to sell it. I put it on eBay and Craigslist. They had their lawyers contact the sites and have them remove the listing.Apparently in the tiny 4-point font disclaimers on the package it says that the license is not transferable, so you can't sell it as a used item after you're done with it.Total crap !",1,DO NOT BUY IF YOU EVER WANT TO RESELL IT.,1348185600,2012-09-21 00:00:00
AV8DS9NWBS6P5,B00007IVVR,Sherri,"[1, 2]","Large chest women cannot wear theses.You know how difficult it is to tape things, just imagine your boobs.I had to try for only $10. I wrote the review so you don't have too.And I only intended to wear these with a strapless bra for more support, not alone so I was not expecting too much.",1,Don't Bother,1348185600,2012-09-21 00:00:00
AIYX8VIO0EV13,B00020J1GW,John Guarino,"[0, 0]","My wife has been through three of these watches. She loves the functions of the watch for work, but the bands keep breaking. So far, googling hasn't shown a source for replacing the watch bands.It shouldn't be too difficult. The watch body itself just pops right out of the rubbery band. Given the tremendous amount of bands that are breaking, I'm surprised that someone over in China hasn't started making a living from selling replacement bands. But even eBay doesn't have anything.I'm wondering if we can find a craftsman to fabricate an alternative?",1,faulty watchbands on the women's ironman triathlon sleek,1349827200,2012-10-10 00:00:00
A2UXMOYCSWZPX2,B0001VNCJ4,M,"[8, 8]","The backing of the bag that gives its nice shape is made of some kind of wood or other hard material or cardboard.  I was excited to get a ""man purse"" to carry my cell phones instead of attaching them to my belt.  I placed the phones and tried to close the snap button but the backing broke.  It cracked.  I didn't even use the bag yet and the backing cracked in half.  The backing could not even withstand pressure applied to close the snap buttons.  What a major disappointment.  They couldn't make it out of something less brittle?  Useless.",1,Disappointed - broke in less than 5 min into use,1351123200,2012-10-25 00:00:00
ANDNAFTUKW3D9,B0001YRJSG,"Mike ""Mike""","[1, 6]","Not even kidding... brand new they are stiff as cardboard and extremely uncomfortable, especially when you walk or sit/crouch. Washing them a dozen times may help slightly, otherwise wear them everyday for a couple years without washing them.Unbelievable.",1,The only cardboard pants in existance!,1328918400,2012-11-02 00:00:00
ACQCLS50FJURR,B0000ZCH4W,Amazon Customer,"[0, 2]",They were sweaty - it was weird like wearing plastic. Also snagged and looked old after ONE washing. Whoever designed these did not try them on or wash them.,1,too thin and crappy,1355270400,2012-12-12 00:00:00
A30OF3ZLZEJVGT,B0000C321X,Bill Shultz,"[1, 1]","This is what happens when you move a quality product from the US to a foreign country for manufacture.  I've worn Levi's 501's since before they were even called 501's (over 60 years) and this product is not a Levi 501.  It is pure garbage and I've ordered my last pair.  It really is a bummer to see what is happening to so many ""American"" products that are shipped overseas to cheap labor manufacturers.  I would even advocate a boycott of Levi until they return to the quality that made them famous...Now I have to search for a replacement...Maybe I'll try Wranglers.....",1,Levi's 501???,1355875200,2012-12-19 00:00:00
A3IY33BB4EB4MP,B0000BW6IN,"Rose A. Harbaugh ""Rosie & Dustin""","[0, 1]",The sneakers fit fine but the material that covers the top of your foot digs into your foot so bad. I wore them one time and had to stop at a store and buy myself a pair of flip flops because I could not stand the pain anymore. I wish I would have wore them around the house before so that I could have returned them for a refund. I am so mad I just threw out all this money on such a crappy pair of sneakers.,1,They hurt my feet!,1372636800,2013-01-07 00:00:00
A2J635S1ADC3I0,B0001YSBEW,tu7_2000,"[0, 2]","Size is too sure, big 2 yards. Fabric touch bad, clipping is not good!Cuff is tightening, is very bad&#65292;Bad shopping at a time",1,Size is too sure,1383264000,2013-01-11 00:00:00
A2J5UMRZO9UBXA,B00016QOTE,"G. D. Harris ""gdharris""","[1, 2]","When the Chinese bought-out Levi Strauss & Co. they surrendered the quality of the Levi brand to history. Levi is not now or will they ever return to being the best pants money can buy. Shame, Shame, Shame on Levi Strauss & Co. Levis are not even of high enough quality to be considered ""suckfull"". Levis are now just another company making highly generic clothes from China, Honduras, Bangladesh, or wherever...",1,Levis Suck!!!,1359590400,2013-01-31 00:00:00
AYIPRFLIS6NFT,B000086778,Kawigirl,"[1, 1]","This is a great idea, but they are very hard to put on by yourself, and they pop off real easily.",1,"Great idea, just don't stay on",1357084800,2013-02-01 00:00:00
A3IEFQUJI6HFFO,B00018HRU2,"R. D. Carr ""BuffY04""","[0, 1]","Must be made for someone with NO boobs.  It's obviously just a show bra.  Don't even waste your money.  NO support, itchy fabric, and doesn't hold a good shape.",1,I actually threw this bra away after only a few wears,1375401600,2013-02-08 00:00:00
A31OCML7XNIWRY,B0000ZEPGA,nikkimags,"[3, 3]","Wow, I'm pretty shocked as to how many positive reviews this bra has.  The cup is shaped very weird, When on, it makes my boobs look like torpedoes!  And it pushes them wayyy to far apart.  They stick out too much on the sides and just makes the shape of my chest look un-natural.  No bueno.  I see other reviewers have had the same experience as me with this bra.  I sent it back immediately!The Bali #3372 is the one that makes my boobs look great and feel great, even though it's itchy sometimes.  This one looked almost the same, so I gave it a try.  But the way it looks on is very different from the way it looks off.",1,Pointy boobs are NOT IN!,1360713600,2013-02-13 00:00:00
A2LCD5RMXD436J,B00016QOTE,Nadezhda,"[0, 0]","This is terrible! I am upset and disappointed!I ordered a pair of 517 jeans using a size . The jeans mailed to me showed the size on the Levi's patch, however they were several inches too long and the waist was much wider than normal. This was definitely not the size stated on the label.Very frustrating, especially after we were eagerly anticipating their arrival I hesitate to mail-order jeans again after this experience.",1,This is terrible! I am upset and disappointed!,1360713600,2013-02-13 00:00:00
A3RO4CLUGNO8T6,B0001YS25K,m,"[0, 0]","The title says traditional fit, but when I tried the jeans, the have bell bottom legs. I wanted the normal cut around the ankle, not bell bottoms.",1,misleading,1357171200,2013-03-01 00:00:00
A6FCCZY1UD4HL,B0000868O9,killercolors,"[1, 2]","Wow...I should have listened to the other reviews. While it looks comfortable-- it isn't. The edges alone are scratchy and the torpedo look I could move past as I've had one other bra do that to me in the past, but after some time it worked itself out. I'd have ignored it completely if not for the scratchy feeling at the hem lines. There for it's being immediately returned.",1,Scratchy,1372809600,2013-03-07 00:00:00
A1H0HI1DFYEUMW,B0000TW2AC,G&gt;E&gt;M&gt;,"[1, 2]","I am not a plus size woman, but decided to order these since I figured they'd fit more comfortably than regular size. These fit terribly and get runs so easy! I'm only 5'1&#34; and wear size 12 in clothing, & they barely go above my knee and fit tight so they roll down. Terrible buy! So disappointed:-(",1,Not for plus size at all!,1363737600,2013-03-20 00:00:00
A27P22K84E0A5X,B000074RL3,"P. Everett ""elderlycaregiver""","[2, 4]","again, i bought this based on a recommendation of a friend, i absolutely hated the fabric it was a cheezy almost las vegas type shiny fabric, ugh also the straps were too short. i couldnt fit it right. did not like the front closure either,, you need a whole day just to get the thing on!dumb design in my eyes, i sent it back,",1,"too tight, too constricting. didnt fit right.",1363824000,2013-03-21 00:00:00
A1E0Y7DFLJAOBJ,B00012O12A,Steve,"[0, 0]","This is my last time of buying Levis.  Order this model and 2 others at the same time during an Amazon sale. Been wearing the same and models for decades.  The quality and fit of the fabric just isn't there anymore.  One pair got a hole in the upper thigh after the first washing.  All the jeans I bought this time, stretch out within hours of wearing.  I have a 31 inch waist, and if I do not have a belt on these jeans are sliding way down within an hour.  This is after washing and drying 5 times.  Ended up going to Marshall's and getting much higher quality jean for half the price.  Sad  to see a company like Levi let themselves forget about their customers. They are so focused on producing at the loweest price, that they no longer seem interested in producting a quality product.  Too bad",1,Levi's are now such a disappointment,1357257600,2013-04-01 00:00:00
A2THIXG7X5T53F,B00008ID0L,Susan,"[3, 3]",The quality of the item is fine but there are 2 different sizes in one package of three.  How can you reorder with that kind of inconsistency?  No way would I recommend this to anyone.,1,multiple sizes in one package,1380844800,2013-04-10 00:00:00
A3ONEFGJUPCDY8,B0000UIY3U,DJ,"[0, 1]",Timex use to be a great company not so now. I have ordered several watches and all have quit working. I ordered this watch with several items that came in one box. Had company  put the box up Christmas items opened it today to check out my items and the clock was running. No plastic strip to keep it off. Last time I will ever buy a Timex and we love buying watches. I think everyone should start buying quality watches not cheap ones.,1,Crappy watch buy better.,1383523200,2013-04-11 00:00:00
ALFBROXVWTMS3,B0000891IO,"Jili ""Jili""","[0, 0]","I have had so many Hanes pantyhoses in c/d size, but this is not c/d for sure. It was too small and short. Very off size and false advertisement. Unless Amazon is selling defected or off sizes of this brand/style.",1,Hanes pearl c/D pantyhose,1366416000,2013-04-20 00:00:00
A2OIPC2V5JCKJP,B00008IEUW,"Richelle M. Soto ""Tina K SEZ:""","[0, 2]","Buyer Beware I did not try on per say just held it up to my breast that I just recently had surgery, They run small and will not take them back.",1,Buyer Beware Seller will not take back of even exchange size. They run small.,1366675200,2013-04-23 00:00:00
A13WXU7Q1VM2S5,B00012O12A,RussellC,"[0, 0]",These may not be the worst jeans I have ever owned but they are way ahead of whatever is in second place. You would think that as much as the charge for jeans now that they could afford to put some belt loops on them. I should have the advise of previous reviews and not purchased these jeans.,1,Worst jeans ever,1360022400,2013-05-02 00:00:00
A3VKSKT5SJ0PPM,B0001I9WMI,kimberleena,"[0, 1]","I ordered this bra per the product guidelines..I am very large busted, and I thought this would be a good nursing bra--for not having wires.The only thing this bra is good for is for holding nursing pads in overnight.  There's no support--none.  I can't even imagine it would support me if I was smaller, either.  The fabric is fairly decent, but I am surprised at the positive reviews from the larger busted lady reviews on here.  I recommend the Goddess bra, or glamourmom nursing tanks--this bra was seriously a joke!",1,A joke in the way of support,1368835200,2013-05-18 00:00:00
APF6PI31359U5,B00008ID1O,Snow,"[7, 7]","I have been a jockey fan for many years but the last package was poorly constructed, very thin and has started to unravel already.  I would switch to hanes all cotton; the waistband is thinner and the fabric is less sheer.",1,Quality has gone Downhill,1369353600,2013-05-24 00:00:00
A1NJ71X3YPQNQ9,B0000868O9,JBerger,"[1, 3]","Itchy, pointy, and VERY uncomfortable! How in the heck did this bra get so many good reviews? I think one star is one too many.",1,Horrible!,1383696000,2013-06-11 00:00:00
AMEL533AU04WN,B00008AALU,Carol l Esser,"[1, 1]",Very light weight in texture  I sent them back. Still waiting for credit. I thought for the weight they were too expensive. I was looking for more warmth in this product,1,Tights,1386288000,2013-06-12 00:00:00
A381P7YDHTI1SE,B00012O12A,"Charles R. Melaney ""citabria""","[1, 2]","Thinner material, 5 loops, yeah the customers wanted that...riiight!  These 505 are cheap and are not the Real 505 of just 2 years ago.  The waist line is cut lower.Thank you Levi, you just lost a 45 years life long Brand name consumer, including the Docker Brand.  Glad you saved a whole nickel on the removal of 2 belt loops.",1,"What happened to 7 Loops, and a proper cut waist",1371168000,2013-06-14 00:00:00
A26KYZ3D2AQ4JL,B000086211,Richard George,"[0, 1]","The bra fits well but the cups are far larger than desired.  Your boobs won't just flop around, they'll look freaky.",1,Yuck,1371945600,2013-06-23 00:00:00
A1E19ZBPXY24EJ,B0000869QI,"M. Avery ""Mavery""","[1, 2]","This is too expensive for the cheap quality of this product! Because the plastic is so slippery, when you put it on the back of your bra and attempt to adjust it to your liking, as soon as you begin to raise your bra straps onto your shoulders, the little adjustment clip will slip/revert back to the starting point of where you begin when you tried to adjust it. I can see this happening if I were over weight and/or had large breast, but Im a size 8 and a B cup so this shows you how defunct this product is. Furthermore, the company I bought this from here on Amazon (i.e. Lady Grace) has an outrageous shipping cost! This piece of crap should be half the cost to ship but the company charges an unreasonable shipping fee because they make you pay for them to mail you their unwelcomed catalog (along with this cheap gadget) which I threw in the recycling bin as soon as I got it. Total waste :-(",1,Waste of $,1372550400,2013-06-30 00:00:00
A2CG39MC6DDFX0,B0000C321X,Jay,"[0, 0]","Didn't like the button fly, too many buttons - 5 to be exact. Makes wearing too inconvenient. Wouldn't recommend it.",1,Hated the fly,1357516800,2013-07-01 00:00:00
A1X5NM3HXQANFL,B00008ID1O,Jasminenirvana,"[7, 7]",Horrible smell gave me an asthmatic attack when they arrived.  Unfortunately I bought 15 jockey underwear so they are going in the trash.  Waste of a lot of money!  Shame on you Jockey!  I have allergies and asthma and only buy unscented products.  There should be a warning label on these toxic underwear.  Do NOT buy!,1,Terrible Chemical Smell,1374192000,2013-07-19 00:00:00
A1FJY6IPGWS7G7,B00022RGTY,"Determination! ""Christine""","[0, 0]",It was a gift for my Mom and she was disappointed; I personally thought it did not look-like picture at all and was poorly done.,1,Multi Color Genine Amber Sterling Silver Ring,1374624000,2013-07-24 00:00:00
A63QPHFB97IXG,B00022JPNE,KingQ,"[0, 1]",Pants are very poor quality for the price. They should be half the cost. $15 would be reasonable. Would not order again.,1,Poor,1375142400,2013-07-30 00:00:00
A1QMRP6KLZDMAT,B00004SR9P,"John J. Francis ""rojac70""","[2, 5]","This would have worked fine if the buckles had bee the same as on my luggage, but they weren't, so I had no use for the thing.",1,buckles did not match my luggage,1375142400,2013-07-30 00:00:00
A27J2K9RU1JCFE,B00008ID0B,"onlineonlyJAG ""OnlineonlyJAG""","[0, 1]","I found these to be huge, far bigger than a size 6.  I have ordered in the past from jockey and found I liked their products and so ordered another style in a smaller size to try once more.  I hope these fit and are not so old fashioned.",1,Huge,1367971200,2013-08-05 00:00:00
AYREN9VOD226N,B0001DYW64,Kinga Brown,"[0, 0]","I absolutely hate those thighs. They are cheaply made,they don't fit right,sizing is way off. I absolutely hate it. Luckily they were inexpensive but still ,money that ended in my trash. Don't buy it!",1,Worthless!,1383868800,2013-08-11 00:00:00
A1OF662TBJTN9N,B00022JPNE,bav070494,"[0, 2]","I am 5'1"" and 125 pounds.  I ordered small.  The waist was too tight, the butt, hips, and thighs were too baggy, and the length was too long.  The seat of the pants has a round patch of fabric.  It looks a bit weird.  I will be returning them.",1,"Too small waist, too baggy legs, too long length.",1377734400,2013-08-29 00:00:00
A2KWD1V1105XR7,B00024QZX0,Faeriegrandma,"[0, 0]",The little catch that should pop up to hold the umbrella in place when it's closed doesns't function at all.  I think whoever packed this had to have known as it was pretty obvious.  Shame - I loved the color.  Back it goes.,1,Broken on arrival,1377907200,2013-08-31 00:00:00
A1OUFNR6LWK8EL,B0000C321X,"A. Vaz ""Ashman""","[2, 2]",These Levi's are not the same as my old ones... Real Crappy Jeans !I've given up on Levi's and have just tried Lee Premium Jeans.Lee premiums are what I expected my old Levi's to be !I've happily moved across to Lee !And have just ordered a whole bunch of Lee jeans from Amazon.Thanks Lee !,1,"Levi's has gone downhill, Look at Lee Premium Jeans",1377907200,2013-08-31 00:00:00
