Review_id,Attribute,Score,Reason
294,Comfort,-3,The denim was quite stiff and the small size didn't leave enough room to comfortably bend arms.
2,Comfort,-2,"While the top half was comfortable, the bottom half had a very tight under layer."
42,Comfort,-2,The reviewer found it fit tight across their chest.
60,Comfort,-2,"The retailer tag on the back is itchy, despite the bra not being binding or tight."
83,Comfort,-2,The reviewer noted the jacket was a bit bulky.
104,Comfort,-2,The fabric felt cheap.
111,Comfort,-2,"It felt like a thin pajama top, not suitable for its intended purpose."
115,Comfort,-2,"The fabric looked droopy and laundered, suggesting a poor feel."
163,Comfort,-2,"The 'metallic fibers on the inside are scratchy', though a cami can solve the problem."
171,Comfort,-2,The 'waist band was a little tight for comfort'.
179,Comfort,-2,The 'waistband was thicker than the dress and sat away from my body' and the material was 'cheapish poly'.
192,Comfort,-2,The reviewer 'thought it would be cozy and be of normal sweater weight but it's not'.
205,Comfort,-2,The reviewer 'found myself tugging downward on the fabric to keep it in place'.
208,Comfort,-2,"The skirt was 'tighter in the waist', causing discomfort."
212,Comfort,-2,"The waist is described as very small, implying discomfort."
250,Comfort,-2,"The item runs at least a full size small, implying it would be uncomfortably tight."
312,Comfort,-2,The zipper catching on the lace and too much material could lead to discomfort.
84,Comfort,-1,"The fit was a touch big at the shoulders and neckline, potentially impacting comfort."
109,Comfort,-1,The shirt was a slight bit tight in the shoulders.
161,Comfort,-1,The buckle at the neckline 'feels very hard'.
301,Comfort,-1,"The reviewer questions what type of bra to wear, implying potential discomfort or inconvenience."
85,Comfort,0,"The shirt fit perfectly, and while thin, the reviewer did not mention discomfort."
128,Comfort,0,"The vest keeps it warm, but unlined sleeves make it cold in winter without an extra sweater."
146,Comfort,0,"It was snug when worn off the shoulders, but the fabric was light."
214,Comfort,0,"The item fit fine but could have been a little more snug, indicating a neutral to slightly imperfect fit for comfort."
230,Comfort,0,"The thighs are a bit snug but stretchy enough to fit, resulting in a neutral comfort score."
259,Comfort,0,"It fits well through the shoulders and arms, but the 'zero waist' and 'extra fabric' could imply an uncomfortable, unflattering bulkiness."
13,Comfort,1,The dress was very form-fitting and did not ride up.
24,Comfort,1,"The reviewer doesn't think the dress feels cheap, implying a decent feel."
60,Comfort,1,"The bra is not binding or tight, but the tag is itchy."
73,Comfort,1,The fabric is fitted but not uncomfortable.
79,Comfort,1,The top has a luxurious feel but is a little tight in the arms.
97,Comfort,1,The fit was okay.
182,Comfort,1,The fit was 'snugly enough' and 'comfortable enough'.
253,Comfort,1,"The pants are lightweight, but they run a bit small and don't seem to stretch, which negatively impacts comfort despite the lightness."
256,Comfort,1,"The top is soft, but the reviewer was 'drowning in it' due to its large size, which negatively impacts comfort from fit."
10,Comfort,2,"The fit is described as snug but not tight, suggesting an acceptable level of comfort."
69,Comfort,2,The reviewer mentioned the top is soft.
69,Comfort,2,The top is soft.
100,Comfort,2,"The shirt is comfortable, but felt more like a pajama top."
160,Comfort,2,The top 'wasn't as scratchy as I thought it would be based on the reviews'.
167,Comfort,2,The item 'has a nice stretch'.
168,Comfort,2,It's 'light weight' and 'perfect for the mild fall weather'.
170,Comfort,2,"The dress 'is lined', which adds to comfort."
183,Comfort,2,The sweater is the 'right weight for our cooler months'.
201,Comfort,2,The fabric is described as 'soft'.
207,Comfort,2,It is 'perfect for warmer months' suggesting comfort in temperature.
236,Comfort,2,"The pants are described as 'very comfortable,' but the calves were 'definitely feeling tight,' leading to a mixed comfort score."
272,Comfort,2,"Sizing up allowed for room for layers, implying better comfort."
281,Comfort,2,"The small size was too snug, but sizing up to a medium provided enough room for layers and comfort."
302,Comfort,2,"The XS was very tight, but sizing up to a S resulted in a great and comfortable fit."
14,Comfort,3,The dress fit very smoothly around the chest and was flowy around the lower half.
25,Comfort,3,"The reviewer states the shirt is 'fun to wear', indicating a positive wearing experience."
73,Comfort,3,"The fabric was fitted but not uncomfortable, which was positive for the reviewer."
79,Comfort,3,"The top has a luxurious and casual feel, but is a little tight in the arms."
57,Comfort,3,"The bra is soft and comfortable, despite other issues."
87,Comfort,3,The item is fitted but comfortable with enough room.
106,Comfort,3,"The shirt is described as luxurious and drapes nicely, suggesting comfort."
108,Comfort,3,The reviewer found the item cozy.
113,Comfort,3,The reviewer found the top comfy for casual wear.
120,Comfort,3,"The reviewer expressed enjoyment in wearing the shirt, implying comfort."
121,Comfort,3,"It's described as a 'perfect t-shirt,' implying comfort."
137,Comfort,3,"The fabric has a nice, soft suede-like finish."
141,Comfort,3,It did not feel scratchy to the reviewer.
148,Comfort,3,"The skirt is practical and lightweight, suggesting comfort."
191,Comfort,3,The reviewer 'love[s] the fabric'.
204,Comfort,3,It's a 'nice weight sweater' and 'light weight enough to wear with a cami underneath'.
209,Comfort,3,The top is described as 'soft'.
219,Comfort,3,"The dress makes the reviewer feel like a 'bohemian goddess,' implying a comfortable and confidence-boosting fit."
220,Comfort,3,"The top fits as described, implying a comfortable fit and is the reviewer's new favorite."
222,Comfort,3,"The skirt is described as an 'easy piece to wear,' implying comfort."
225,Comfort,3,"The direct fit of the item was described as 'great,' implying comfort, separate from the length issue."
231,Comfort,3,"The cut is flowy and not close to the body, and the sleeves are okay with an athletic build, implying comfortable wear after sizing down."
235,Comfort,3,"The style and quality are beautiful, implying satisfaction with how it will feel once the correct size is received."
243,Comfort,3,"The reviewer recommends the pants, implying overall comfort, despite them being a bit loose around the waist."
248,Comfort,3,"The reviewer chose a size that was 'just right,' implying a comfortable fit."
252,Comfort,3,"The reviewer kept and altered the tunic because they 'really do love this top,' implying a comfortable fit after adjustment."
255,Comfort,3,"The reviewer loves the item, implying comfort, but hopes it will shrink, suggesting it's currently not perfectly comfortable due to size."
260,Comfort,3,"It fits snug initially but gets looser as worn, and the reviewer 'loves it,' implying it becomes comfortable."
261,Comfort,3,"The sleeves are made of a soft felted material, and the coat is not too heavy."
271,Comfort,3,The reviewer thinks the top is comfortable.
280,Comfort,3,"The dress hugs without really touching, implying comfort."
291,Comfort,3,"The stretch in the denim is just right, contributing to comfort."
292,Comfort,3,"The bit of stretch makes the denim less stiff, contributing to comfort."
293,Comfort,3,"The fabric has a bit of stretch, which is nice and contributes to comfort."
295,Comfort,3,"The jacket is just stretchy enough, implying comfort and ease of movement."
310,Comfort,3,The dress felt good when worn.
311,Comfort,3,"The sleeves are a nice length and not too tight, implying comfort."
1,Comfort,4,The reviewer found the product comfortable.
20,Comfort,4,"The reviewer loved the 'feel' of the tulle dress, indicating a positive tactile experience."
35,Comfort,4,The reviewer found the fabric to be super soft.
37,Comfort,4,The reviewer explicitly stated the skirt is comfortable.
39,Comfort,4,The reviewer described the pullover as comfy.
51,Comfort,4,"The reviewer explicitly stated, ""it's comfortable."""
57,Comfort,4,"The bra is soft and comfortable, which is a redeeming quality."
63,Comfort,4,The reviewer found the item very comfortable.
67,Comfort,4,"The reviewer described the top as very flowy, stretchy, and comfortable."
68,Comfort,4,The top is described as very soft and comfortable.
74,Comfort,4,The top was explicitly described as loose and comfortable.
75,Comfort,4,The dress was described as lined and very comfy.
51,Comfort,4,The reviewer found it comfortable.
63,Comfort,4,The item is very comfortable.
67,Comfort,4,"The top is very flowy, stretchy, and comfortable."
68,Comfort,4,The top is very soft and comfortable.
74,Comfort,4,The top is loose and comfortable.
75,Comfort,4,The dress is very comfy.
82,Comfort,4,The top is comfortable with soft material.
101,Comfort,4,The top is comfortable and stretches a lot.
110,Comfort,4,"The dress is perfect for hot, humid, sticky weather, suggesting high comfort."
114,Comfort,4,The reviewer found the dress comfortable.
118,Comfort,4,It is described as a perfect summer dress.
127,Comfort,4,"The reviewer found it a beautiful, comfortable piece of clothing that felt thick."
132,Comfort,4,The reviewer found the dress comfy.
134,Comfort,4,"The vest is soft and light, making it comfortable to wear all day without being too heavy or hot."
140,Comfort,4,The skirt is comfortable and has a versatile weight.
156,Comfort,4,"The reviewer found the fabric not scratchy, even with sensitive skin."
172,Comfort,4,The 'material is very soft'.
176,Comfort,4,The top is described as 'extremely soft'.
194,Comfort,4,The 'fabric is wonderful'.
210,Comfort,4,"The fabric is soft to the skin, indicating a comfortable feel."
213,Comfort,4,"After exchanging for a larger size due to an initial tight fit, the reviewer 'fell in love,' implying a comfortable fit."
218,Comfort,4,"The size 6 fits perfectly, contributing to comfort."
221,Comfort,4,"The top has a forgiving a-line shape and avoids fabric piled up around the neck, contributing to comfort."
224,Comfort,4,"The dress is lightweight, loose (as preferred), and easy to throw on, indicating high comfort, despite a preference for a camisole."
227,Comfort,4,"After sizing down, the top fits perfectly, implying a comfortable wear."
229,Comfort,4,"The top is very fresh and airy, and the fabric hangs nicely, indicating good comfort."
234,Comfort,4,"The jeans have a classic flattering fit and are slightly stretchy, contributing to comfort."
237,Comfort,4,"The item is described as 'cozy,' indicating a high level of comfort."
239,Comfort,4,"The material isn't too thick, making it a nice lighter layer for fall/spring, and the fit was true to size."
242,Comfort,4,"The dress has soft fabric and was loved from the moment it was tried on, indicating good comfort."
246,Comfort,4,"The item is described as 'comfortable,' indicating a positive feel."
263,Comfort,4,The material is extremely soft.
276,Comfort,4,The item is described as comfortable.
290,Comfort,4,"The jacket has a bit of stretch, making it very comfy."
298,Comfort,4,"The denim is very soft and has some stretch, and it's roomy enough for a sweater underneath."
19,Comfort,5,The reviewer explicitly described the coat as 'super cozy.'
30,Comfort,5,The reviewer found the sweater to be very comfy and warm.
45,Comfort,5,The reviewer found the item very comfortable.
54,Comfort,5,The reviewer explicitly stated the shirt is 'Very soft and comfortable.'
56,Comfort,5,The reviewer found the top to be extremely comfortable.
64,Comfort,5,The shirt is described as very comfortable and lightweight.
82,Comfort,5,The reviewer found the top comfortable and made of soft material.
54,Comfort,5,The shirt is very soft and comfortable.
56,Comfort,5,The reviewer found the top extremely comfortable.
64,Comfort,5,The shirt is very comfortable.
130,Comfort,5,The reviewer found the top super comfy.
131,Comfort,5,The reviewer found the item wonderfully comfortable.
133,Comfort,5,"The reviewer found the top super cozy, comfortable, soft, thin, and stretchy."
135,Comfort,5,"The blouse is made of perfect-weight cotton and has fullness, making it easy to wear in hot, humid weather."
173,Comfort,5,The pants were 'so comfortable' and the 'fabric is very light and breezy'.
177,Comfort,5,The sweater is described as 'so cute and comfortable'.
178,Comfort,5,The sweater is 'so comfortable'.
199,Comfort,5,The item is described as 'comfy'.
211,Comfort,5,"The item is described as very soft, comfortable, and easy to wear."
223,Comfort,5,"The fabric is light, warm without being bulky, and helps avoid hot flashes, indicating excellent comfort."
226,Comfort,5,"The pants are described as soft, comfortable, and forgiving, indicating excellent comfort."
232,Comfort,5,"The pants are lightweight, great for hot summer days, and the waist does not create muffin top, indicating excellent comfort."
241,Comfort,5,"The pants fit perfectly and are lightweight for hot and humid summer days, indicating excellent comfort."
251,Comfort,5,"The reviewer 'felt like a million bucks,' implying excellent comfort and confidence in wearing the pants."
254,Comfort,5,"The dress is described as 'great comfy,' indicating excellent comfort."
257,Comfort,5,"The top fits very well and the fabric is super soft, indicating excellent comfort."
275,Comfort,5,The sweatshirt is described as comfy and soft.
282,Comfort,5,The dress was comfortable and easy to wear.
284,Comfort,5,The sweatshirt is described as 'so comfy'.
285,Comfort,5,The fabric is very soft and comfortable.
300,Comfort,5,The denim is super soft and has a loved 'worn in' feel.
307,Comfort,5,The dress is described as 'comfy'.
62,Design and Aesthetics,,Not mentioned in the review.
65,Design and Aesthetics,,Not mentioned in the review.
62,Design and Aesthetics,,Not mentioned in the review
110,Design and Aesthetics,,Not mentioned in the review
117,Design and Aesthetics,,Not mentioned in the review
199,Design and Aesthetics,,Not mentioned in the review.
23,Design and Aesthetics,-4,"The tulle feels and looks cheap, and the item does not look or is described as pictured."
27,Design and Aesthetics,-4,"The coat's design made the reviewer look short and squat, with disproportionately wide sleeves and poorly placed buttons."
59,Design and Aesthetics,-4,The reviewer dislikes the high waist and finds the elastic waistband looks cheap and difficult to style.
72,Design and Aesthetics,-4,"The reviewer strongly disliked the crop top design, found it unflattering, described the cut as weird, and disliked the cami underneath."
97,Design and Aesthetics,-4,"The top had no shape, was unflattering, and looked like a tent or tablecloth."
185,Design and Aesthetics,-4,The sweater was 'much wider in the middle than pictured' and 'makes me look 20 pounds heavier'.
287,Design and Aesthetics,-4,"The top is described as extremely wide and boxy, making the reviewer look pregnant."
289,Design and Aesthetics,-4,"The distressed dots looked missing, it lacked structure, was not flattering, and resembled a pajama top."
2,Design and Aesthetics,-3,The reviewer described the over layers as somewhat cheap and identified a major design flaw.
11,Design and Aesthetics,-3,The material on the top looked and felt very cheap.
57,Design and Aesthetics,-3,"The bra offers zero support or shape, indicating a poor design for its intended purpose."
58,Design and Aesthetics,-3,"While the back ruffle was loved, the front was not a good look, leading to a return."
71,Design and Aesthetics,-3,"The reviewer found the babydoll shape undesirable and wished it hung straighter, despite liking the craftsmanship and fabric look."
57,Design and Aesthetics,-3,The bra has zero support or shape.
59,Design and Aesthetics,-3,The reviewer disliked the design due to the high and cheap-looking elastic waistband.
72,Design and Aesthetics,-3,"The pattern and fabric are gorgeous, but the crop top design was unflattering and made the reviewer look like a football player."
86,Design and Aesthetics,-3,"The sharkbite hem was much more pronounced and looser than pictured, making it unflattering and making the reviewer look bigger, despite a nice weave."
104,Design and Aesthetics,-3,The reviewer found it unflattering.
105,Design and Aesthetics,-3,The reviewer found it unflattering.
115,Design and Aesthetics,-3,"While the design/shape was flattering, the received item had a faded color and black stains."
127,Design and Aesthetics,-3,"While beautiful and with an interesting pattern, the expected 'dark orange' color was actually a disappointing mud brown."
132,Design and Aesthetics,-3,"The fit was unflattering, making the chest look too wide and hips too narrow, and draping poorly across the back."
153,Design and Aesthetics,-3,"The fabric looked tacky, the cut was odd, and it was too metallic-looking for the reviewer's taste."
155,Design and Aesthetics,-3,"While the metallic colors were loved, the design was poor, being very low cut in both front and back."
179,Design and Aesthetics,-3,"While the 'colors are vivid and perfectly autumnal', the 'fit is a mess' and looked 'maternityish'."
201,Design and Aesthetics,-3,The reviewer would 'rather wait for something more formfitting and flattering'.
203,Design and Aesthetics,-3,"It 'did not flatter the female form' and 'felt like a burlap sack', despite having a 'gorgeous blue color'."
215,Design and Aesthetics,-3,"The color received had very little blue or green as expected, and was mostly white, yellow, and red."
238,Design and Aesthetics,-3,"The item is described as 'less flattering' than a similar pair, indicating a negative aesthetic."
309,Design and Aesthetics,-3,"While the reviewer loves the jacket, a huge area of distressing on the shoulder is a significant design flaw leading to a return."
17,Design and Aesthetics,-2,"While the material and color were nice, the overall look was unflattering due to the large leg opening and pleats."
22,Design and Aesthetics,-2,"The reviewer was upset the dress was a print and not embroidery, but acknowledged it is still pretty, with vibrant color and unique style."
26,Design and Aesthetics,-2,"The gaps in the front were too wide, and the dress aesthetically 'fell flat' despite the reviewer loving the material."
28,Design and Aesthetics,-2,"The colors were not as expected and the reviewer couldn't find anything to match, despite the fabric having good weight and movement."
34,Design and Aesthetics,-2,The reviewer noted that the item does not drape very well.
51,Design and Aesthetics,-2,"While the top was considered 'cute' with a 'nice print,' the specific color 'washed me out' and was deemed 'not the best color for a blonde,' preventing a purchase."
69,Design and Aesthetics,-2,"The pattern is just okay in person, and the neckline is higher than the reviewer prefers."
101,Design and Aesthetics,-2,The neckline was much lower and wavier than expected.
111,Design and Aesthetics,-2,The reviewer found the buttons terrible.
119,Design and Aesthetics,-2,"While the fabric was beautiful, the narrow shoulder cut and poor fit made the top look unflattering."
125,Design and Aesthetics,-2,The 'A' line shape accentuated the hip area in an unflattering way for the reviewer.
129,Design and Aesthetics,-2,"While the color was pretty and it hung nicely, the vest looked odd when tied and lacked 'umph.'"
154,Design and Aesthetics,-2,"The top was a little divulging for a large bust, requiring an underlayer that changed its shape."
163,Design and Aesthetics,-2,"The reviewer 'could not go strapless' and needed 'wider strap cami's to cover the bra strap area', requiring extra effort for styling."
175,Design and Aesthetics,-2,"While the skirt is 'beautiful (especially the color)', it was 'just too straight to be flattering' on the reviewer."
186,Design and Aesthetics,-2,"The 'bottom is just like the picture, it hangs in an odd rumpled way', despite the 'top is very flattering'."
191,Design and Aesthetics,-2,"While the reviewer 'love[s] the fabric and color', their 'only complaint' is that the 'base is wider than the picture shows'."
192,Design and Aesthetics,-2,The 'swing effect doesn't really come off' and it's described as 'nothing special'.
208,Design and Aesthetics,-2,"While initially 'loved', the fit issues were 'throwing off the dimension' and 'became overwhelming', with a preference for a shorter cut."
212,Design and Aesthetics,-2,"While the fabric and color are pretty, the fit is strange and the length looks like it should be shorter, negatively impacting the overall aesthetic."
233,Design and Aesthetics,-2,"While 'cute looking,' the issues with the underarm fit and the shirt being see-through negatively impacted its overall aesthetic and wearability."
259,Design and Aesthetics,-2,"While 'super cute,' the 'zero waist' and 'extra fabric hanging' makes it look unflattering, leading to a negative overall aesthetic."
263,Design and Aesthetics,-2,"The t-shirt was really sheer, despite the design being cute."
271,Design and Aesthetics,-2,"The reviewer liked the color but disliked the ruffled stitching, describing it as tacked on."
279,Design and Aesthetics,-2,"While the styling is cute, the hem curls really badly, detracting significantly from the look."
312,Design and Aesthetics,-2,"While it looks beautiful online, it has too much material and the zipper catches on the lace, affecting the overall aesthetic."
37,Design and Aesthetics,-1,The reviewer noted the design is not the most exciting.
44,Design and Aesthetics,-1,The reviewer noted it was unexpectedly sheer and that the color appeared different than on the monitor.
69,Design and Aesthetics,-1,"The pattern was only 'okay' in person, and the neckline was higher than preferred."
58,Design and Aesthetics,-1,"The reviewer loved the back ruffle, but the front was not a good look."
89,Design and Aesthetics,-1,The piece is cute but was not flattering due to its width.
98,Design and Aesthetics,-1,"The top was cute, but shapeless."
112,Design and Aesthetics,-1,"While cute, the hemline and side slit were too short and high for the reviewer's liking."
126,Design and Aesthetics,-1,"While the color and collar were lovely, the arm/shoulder part was large and bulky, making the reviewer look bigger."
138,Design and Aesthetics,-1,"While beautiful, the shirt was too wide and too short, making it look like it shrunk."
142,Design and Aesthetics,-1,"While the design was pretty, the back was see-through and it was too tight to wear off the shoulder as intended."
161,Design and Aesthetics,-1,"While a 'beautiful coat', the reviewer feels it 'look[s] like a clown costume' due to the flare, and the buckle 'feels very hard and fake'."
205,Design and Aesthetics,-1,The reviewer initially 'loved this top' but the 'sleeves are much bigger and flouncier than they appear in the photo'.
51,Design and Aesthetics,0,"The top is cute with a nice print, but the color was not flattering for the reviewer."
55,Design and Aesthetics,0,"The print is pretty and unusual, but the top didn't look great on the reviewer."
100,Design and Aesthetics,0,"The buttons are cute, but the overall look felt more like a pajama top."
269,Design and Aesthetics,0,"The reviewer loves the front of the shirt and thinks it looks cute, but the mismatched back material was off-putting."
85,Design and Aesthetics,1,"The reviewer was neutral about the shirt but liked the slits in the front, which added a little dimension."
71,Design and Aesthetics,1,"The top is cute with lovely craftsmanship and natural fabric, but the babydoll shape was not apparent in pictures."
83,Design and Aesthetics,1,"The print is great and unique, but the received color was inaccurately pictured."
85,Design and Aesthetics,1,"The reviewer likes the front slits, but is not crazy in love with the shirt."
90,Design and Aesthetics,1,"The fabric and top are gorgeous, but it lacked the desired tailored look."
21,Design and Aesthetics,2,"The tie offers nice flexibility on form fitting, indicating a positive design feature."
24,Design and Aesthetics,2,"The dress is described as cute and appears just as pictured, though the reviewer is not 'in love' with it."
55,Design and Aesthetics,2,"The reviewer described it as a 'Nice top' with a 'pretty and unusual print' and a 'slight peplum in the back that hangs nicely,' but 'it just didn't look great on me.'"
88,Design and Aesthetics,2,"The dress is more flattering when tightened, though the looser look was not preferred."
133,Design and Aesthetics,2,"It drapes nicely, but the neckline stretched out and buttons had trouble staying closed."
146,Design and Aesthetics,2,"The colors are nice and light, and the off-shoulder style looked good on others, but fit issues for the reviewer."
162,Design and Aesthetics,2,"The 'colors are vibrant and the combination of materials... is interesting', but the fabric choice significantly detracts from the overall appeal."
171,Design and Aesthetics,2,The reviewer describes the pants as 'fun!'.
182,Design and Aesthetics,2,"The reviewer was slightly disappointed it wasn't lace, but found the 'colors are nice' and pattern pleasing."
209,Design and Aesthetics,2,"It's a 'Gorgeous top, very nice. detail work, soft and flattering' with a 'pretty straight silhouette', but the 'soft pink is not pink it is peach', which was 'not my color'."
290,Design and Aesthetics,2,"The reviewer loves the jacket but finds the distressing to be too much and uneven, wishing for a non-distressed version."
6,Design and Aesthetics,3,"The dress was pretty out of the package, and the reviewer loved the color and style idea."
14,Design and Aesthetics,3,The straps were described as very pretty.
15,Design and Aesthetics,3,The dress was considered a nice choice for holiday and office gatherings due to its appropriate length.
